Submit Time,Wait Time,Run Time,No. Allocated Processors,Requested Memory,Flavor
1/1/70 8:20 AM,1573,337,4,2400,520
1/1/70 8:20 AM,17,513,1,3200,152
1/1/70 8:22 AM,9,5253,2,4096,372
1/1/70 8:23 AM,10,64,1,11840,15
1/1/70 8:26 AM,9,57,1,11840,15
1/1/70 8:26 AM,11,1788,1,2272,100
1/1/70 8:27 AM,13,94,1,1024,1
1/1/70 8:28 AM,10,1509,1,11840,15
1/1/70 8:29 AM,10,190,1,11840,15
1/1/70 8:30 AM,10,621,1,1024,1
1/1/70 8:33 AM,11,33,1,11840,15
1/1/70 8:34 AM,10,30,1,11840,15
1/1/70 8:35 AM,10,1047,1,11840,15
1/1/70 8:43 AM,11,6472,2,4000,370
1/1/70 8:55 AM,5,132,1,1024,1
1/1/70 8:57 AM,13,7876,4,2400,520
1/1/70 8:57 AM,5,33,1,1024,1
1/1/70 8:58 AM,5,2020,1,8192,244
1/1/70 8:59 AM,17,1649,1,1024,1
1/1/70 9:01 AM,13,5207,1,11840,15
1/1/70 9:04 AM,27,5002,1,1024,1
1/1/70 9:05 AM,3,5768,1,6400,221
1/1/70 9:08 AM,7,178,10,32768,262
1/1/70 9:12 AM,4,9095,4,3424,545
1/1/70 9:12 AM,5,869,10,32768,262
1/1/70 9:15 AM,6,4573,1,11840,15
1/1/70 9:17 AM,5,1197,1,1024,1
1/1/70 9:23 AM,7,8507,2,8000,420
1/1/70 9:27 AM,4,578,10,32768,262
1/1/70 9:32 AM,159,1274,8,32768,623
1/1/70 9:33 AM,5,5023,1,8192,244
1/1/70 9:38 AM,12,525,1,1024,1
1/1/70 9:55 AM,9,336,1,1024,1
1/1/70 9:59 AM,10,8323,4,5904,583
1/1/70 10:06 AM,4,279,8,32768,623
1/1/70 10:31 AM,5,624,1,1024,1
1/1/70 10:32 AM,4,77,1,11840,15
1/1/70 10:41 AM,6,106,1,1024,1
1/1/70 10:41 AM,4,102,1,11840,15
1/1/70 10:45 AM,4,68,1,11840,15
1/1/70 10:49 AM,7,992,1,1024,1
1/1/70 10:52 AM,4,73,1,11840,15
1/1/70 11:00 AM,5,2354,1,8192,244
1/1/70 11:08 AM,7,69,1,11840,15
1/1/70 11:11 AM,5,67,1,11840,15
1/1/70 11:13 AM,4,9678,1,11840,15
1/1/70 11:44 AM,7,4008,1,11840,15
1/1/70 12:02 PM,5,1704,1,11840,15
1/1/70 12:12 PM,5,20,10,32768,262
1/1/70 12:14 PM,4,128,10,32768,262
1/1/70 12:18 PM,0,14199,4,32768,541
1/1/70 12:31 PM,3,296,1,12800,25
1/1/70 12:36 PM,3,79,1,12800,25
1/1/70 12:38 PM,3,19,1,1024,1
1/1/70 12:38 PM,35,1696,1,12800,25
1/1/70 12:41 PM,3,133,10,32768,262
1/1/70 1:11 PM,4,3908,2,16384,326
1/1/70 1:18 PM,4,4039,1,11840,15
1/1/70 1:26 PM,4,145,10,32768,262
1/1/70 1:35 PM,4,151,10,32768,262
1/1/70 1:45 PM,4,169,10,32768,262
1/1/70 1:59 PM,3,31,1,11840,15
1/1/70 2:06 PM,4,74,1,11840,15
1/1/70 2:10 PM,3,72,1,11840,15
1/1/70 2:20 PM,5,1137,8,32768,623
1/1/70 2:23 PM,3,66,1,11840,15
1/1/70 2:26 PM,3,91,1,11840,15
1/1/70 2:34 PM,267,3393,8,32768,623
1/1/70 2:53 PM,32770,4206,4,5904,583
1/1/70 3:09 PM,3,950,2,9600,436
1/1/70 4:13 PM,71559,14160,4,32768,541
1/2/70 12:12 AM,4,521,8,32768,623
1/2/70 12:14 AM,4,67,10,32768,262
1/2/70 12:16 AM,306,1456,8,32768,623
1/2/70 12:29 AM,5,53,10,32768,262
1/2/70 12:29 AM,20,242,10,32768,262
1/2/70 12:45 AM,8,2239,10,32768,262
1/2/70 12:53 AM,1816,181,10,32768,262
1/2/70 12:53 AM,3,4185,2,3200,358
1/2/70 12:53 AM,4,626,2,9600,436
1/2/70 12:53 AM,8,5722,1,6400,221
1/2/70 12:54 AM,5,5108,1,3200,152
1/2/70 12:54 AM,4,4946,1,3200,152
1/2/70 12:55 AM,3,4492,4,6800,596
1/2/70 1:12 AM,4,1151,2,9600,436
1/2/70 1:13 AM,7,47,1,11840,15
1/2/70 1:13 AM,7,32,1,1024,1
1/2/70 1:15 AM,7,39,1,1024,1
1/2/70 1:17 AM,13,33,2,1024,266
1/2/70 1:19 AM,4,38,2,1024,266
1/2/70 1:21 AM,8,43,2,1024,266
1/2/70 1:23 AM,18,148,1,1024,1
1/2/70 1:31 AM,7,365,2,9600,436
1/2/70 1:32 AM,5,22,1,3200,152
1/2/70 1:33 AM,4,432,2,9600,436
1/2/70 1:38 AM,3,2115,4,5600,578
1/2/70 1:39 AM,3,440,2,9600,436
1/2/70 1:43 AM,5,4324,2,9600,436
1/2/70 1:44 AM,51502,18729,4,32768,541
1/2/70 1:49 AM,6,27,2,4800,379
1/2/70 1:49 AM,3,6387,2,4800,379
1/2/70 1:50 AM,3,495,8,32768,623
1/2/70 1:57 AM,5,21,1,11840,15
1/2/70 1:59 AM,5,22,1,11840,15
1/2/70 1:59 AM,6,184,1,1024,1
1/2/70 1:59 AM,5,333,1,12800,25
1/2/70 2:01 AM,3,64,1,11840,15
1/2/70 2:02 AM,4,25,2,4800,379
1/2/70 2:02 AM,5,387,1,3200,152
